,theorem_id,throrem_titles,theorem_contents,theorem_refs,ref_ids,retrieved_3,retrieved_5,retrieved_10,retrieved_50,P@3,P@5,P@10,P@50,R@3,R@5,R@10,R@50,RR,self_retrieve
10592,15878,Lower Bound for Binomial Coefficient,"Let $n, k \in \Z$ such that $n \ge k \ge 0$.Then::$\dbinom n k \ge \left({\dfrac {\left({n - k}\right) e} k}\right)^k \dfrac 1 {e k}$where $\dbinom n k$ denotes a [[Definition:Binomial Coefficient|binomial coefficient]].",['Definition:Binomial Coefficient'],[20059],"[25464, 25467, 32909]","[25464, 25467, 32909, 30726, 32631]","[25464, 25467, 32909, 30726, 32631, 25466, 20059, 32558, 26919, 22623]","[25464, 25467, 32909, 30726, 32631, 25466, 20059, 32558, 26919, 22623, 32442, 20408, 25248, 24136, 25463, 24139, 24137, 29513, 32910, 24141, 24142, 25479, 25478, 29500, 24140, 29462, 32561, 25480, 23911, 25481, 23912, 25482, 27942, 25247, 32257, 25483, 24143, 32639, 21083, 25465, 27943, 22821, 29505, 21904, 21014, 32632, 21901, 21902, 32247, 20546]",0.0,0.0,0.1,0.02,0.0,0.0,1.0,1.0,0.14285714285714285,False
10593,15881,Sum over k of n Choose k by p^k by (1-p)^n-k by Absolute Value of k-np,Let $n \in \Z_{\ge 0}$ be a [[Definition:Non-Negative Integer|non-negative integer]].Then::$\displaystyle \sum_{k \mathop \in \Z} \dbinom n k p^k \left({1 - p}\right)^{n - k} \left\lvert{k - n p}\right\rvert = 2 \left\lceil{n p}\right\rceil \dbinom n {\left\lceil{n p}\right\rceil} p^{\left\lceil{n p}\right\rceil} \left({1 - p}\right)^{n - 1 - \left\lceil{n p}\right\rceil}$,['Definition:Positive/Integer'],[22648],"[32650, 32920, 32919]","[32650, 32920, 32919, 32909, 26539]","[32650, 32920, 32919, 32909, 26539, 26536, 32263, 28151, 27383, 27669]","[32650, 32920, 32919, 32909, 26539, 26536, 32263, 28151, 27383, 27669, 32257, 26309, 25380, 20546, 23221, 23197, 23387, 23223, 22445, 26956, 24368, 29333, 28539, 27733, 23473, 32247, 30475, 30482, 25108, 25347, 22821, 29215, 21279, 29427, 32918, 19963, 21562, 32486, 23556, 20313, 32316, 22839, 25697, 26540, 32456, 32392, 20828, 19967, 26533, 28149]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10594,15882,Sequence of General Harmonic Numbers Converges for Index Greater than 1,"Let $H_n^{\paren r}$ denote the [[Definition:General Harmonic Numbers|general harmonic number]]::$\displaystyle H_n^{\paren r} = \sum_{k \mathop = 1}^n \frac 1 {k^r}$for $r \in \R_{>0}$.Let $r > 1$.Then as $n \to \infty$, $H_n^{\paren r}$ is [[Definition:Convergent Series of Numbers|convergent]] with an [[Definition:Upper Bound|upper bound]] of $\dfrac {2^{r - 1} } {2^{r - 1} - 1}$.","['Definition:Harmonic Numbers/General Definition', 'Definition:Convergent Series/Number Field', 'Definition:Upper Bound']","[23956, 24643, 19917]","[23956, 21005, 19917]","[23956, 21005, 19917, 20320, 32906]","[23956, 21005, 19917, 20320, 32906, 24883, 31176, 24922, 24660, 31175]","[23956, 21005, 19917, 20320, 32906, 24883, 31176, 24922, 24660, 31175, 20231, 32905, 29463, 24881, 32579, 32239, 24898, 27775, 24897, 25938, 24867, 24656, 27660, 28007, 20247, 24657, 22052, 28953, 22622, 22050, 21082, 22058, 32374, 21542, 22059, 26543, 24888, 20327, 24659, 32898, 29560, 28011, 32288, 23734, 24900, 29883, 24903, 23733, 23093, 24884]",0.6666666666666666,0.4,0.2,0.04,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,False
10595,15884,Generating Function of Bernoulli Polynomials,Let $\map {B_n} x$ denote the $n$th [[Definition:Bernoulli Polynomial|Bernoulli polynomial]].Then the [[Definition:Generating Function|generating function]] for $B_n$ is::$\displaystyle \frac {t e^{t x} } {e^t - 1} = \sum_{k \mathop = 0}^\infty \frac {\map {B_k} x} {k!} t^k$,"['Definition:Bernoulli Polynomial', 'Definition:Generating Function']","[29504, 20526]","[25171, 29504, 25114]","[25171, 29504, 25114, 25172, 29536]","[25171, 29504, 25114, 25172, 29536, 29376, 29535, 29539, 25150, 22683]","[25171, 29504, 25114, 25172, 29536, 29376, 29535, 29539, 25150, 22683, 29374, 23926, 20526, 21069, 26684, 28409, 26436, 21064, 33119, 25194, 24662, 30359, 23819, 21620, 22684, 28865, 28432, 24971, 31961, 26677, 31197, 27953, 21081, 31962, 23821, 24992, 25017, 26434, 28809, 29981, 29381, 25012, 25018, 32351, 21449, 23799, 28864, 20248, 20488, 32391]",0.3333333333333333,0.2,0.1,0.04,0.5,0.5,0.5,1.0,0.5,False
10596,15885,Symmetry of Bernoulli Polynomial,Let $\map {B_n} x$ denote the nth [[Definition:Bernoulli Polynomial|Bernoulli polynomial]].Then::$\map {B_n} {1 - x} = \paren {-1}^n \map {B_n} x$,['Definition:Bernoulli Polynomial'],[29504],"[29504, 25171, 28409]","[29504, 25171, 28409, 25114, 28432]","[29504, 25171, 28409, 25114, 28432, 28433, 26436, 26684, 25194, 21069]","[29504, 25171, 28409, 25114, 28432, 28433, 26436, 26684, 25194, 21069, 21064, 30359, 22637, 27693, 31961, 25172, 21449, 31962, 32877, 28865, 24971, 22683, 26677, 32936, 26434, 29981, 32391, 23799, 20488, 22684, 28434, 28864, 30741, 23833, 30111, 28084, 30753, 21704, 30738, 23792, 20716, 23784, 28867, 23820, 30076, 31201, 20248, 26678, 28866, 21703]",0.3333333333333333,0.2,0.1,0.02,1.0,1.0,1.0,1.0,1.0,False
10597,15886,Value of Odd Bernoulli Polynomial at One Half,Let $B_n \left({x}\right)$ denote the $n$th [[Definition:Bernoulli Polynomial|Bernoulli polynomial]].Then:: $B_{2 n + 1} \left({\dfrac 1 2}\right) = 0$,['Definition:Bernoulli Polynomial'],[29504],"[29504, 21069, 26436]","[29504, 21069, 26436, 25114, 22686]","[29504, 21069, 26436, 25114, 22686, 21064, 30359, 25194, 21703, 28865]","[29504, 21069, 26436, 25114, 22686, 21064, 30359, 25194, 21703, 28865, 24971, 22683, 26683, 23792, 26677, 26434, 27366, 29981, 28868, 23799, 23833, 32210, 32257, 28866, 20488, 25171, 23783, 28864, 28869, 25176, 28084, 30753, 26539, 32261, 32877, 24991, 23784, 23820, 29272, 23810, 30076, 32263, 26610, 26678, 30741, 22684, 23779, 30111, 23812, 28672]",0.3333333333333333,0.2,0.1,0.02,1.0,1.0,1.0,1.0,1.0,False
10598,15887,Harmonic Number is Greater than Logarithm plus Gamma,:$H_n > \ln n + \gamma$where::$H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]]:$\gamma$ denotes the [[Definition:Euler-Mascheroni Constant|Euler-Mascheroni constant]].,"['Definition:Harmonic Numbers', 'Definition:Euler-Mascheroni Constant']","[21005, 20320]","[20320, 26439, 24835]","[20320, 26439, 24835, 25107, 21005]","[20320, 26439, 24835, 25107, 21005, 23956, 31175, 32906, 32905, 29486]","[20320, 26439, 24835, 25107, 21005, 23956, 31175, 32906, 32905, 29486, 29463, 25129, 27270, 30717, 24998, 25183, 20505, 29273, 31176, 30715, 26859, 27454, 30709, 23637, 25106, 20235, 27241, 20231, 27779, 30714, 26326, 28758, 30718, 25108, 19889, 26903, 20425, 30826, 28953, 30425, 29462, 30716, 23922, 27974, 32818, 23394, 27956, 26468, 27734, 28033]",0.3333333333333333,0.4,0.2,0.04,0.5,1.0,1.0,1.0,1.0,False
10599,15888,Summation to n of Power of k over k,:$\displaystyle \sum_{k \mathop = 1}^n \dfrac {x^k} k = H_n + \displaystyle \sum_{k \mathop = 1}^n \dbinom n k \dfrac {\left({x - 1}\right)^k} k$where::$H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]]:$\dbinom n k$ denotes a [[Definition:Binomial Coefficient|binomial coefficient]].,"['Definition:Harmonic Numbers', 'Definition:Binomial Coefficient']","[21005, 20059]","[30726, 21005, 25464]","[30726, 21005, 25464, 25467, 23956]","[30726, 21005, 25464, 25467, 23956, 32631, 20059, 25466, 32558, 32909]","[30726, 21005, 25464, 25467, 23956, 32631, 20059, 25466, 32558, 32909, 32910, 32906, 26919, 20408, 32442, 32905, 25248, 28151, 31175, 22623, 24136, 24139, 24137, 25463, 29500, 24141, 24142, 31176, 20320, 29462, 29513, 26539, 24140, 29463, 25479, 25478, 23911, 25480, 23912, 32639, 25481, 25482, 25247, 20231, 24143, 27950, 25483, 27942, 32561, 21083]",0.3333333333333333,0.2,0.2,0.04,0.5,0.5,1.0,1.0,0.5,False
10600,15889,Harmonic Number as Unsigned Stirling Number of First Kind over Factorial,:$H_n = \dfrac {\left[{ {n + 1} \atop 2}\right]} {n!}$where::$H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]]:$n!$ denotes the [[Definition:Factorial|$n$th factorial]]:$\displaystyle \left[{ {n + 1} \atop 2}\right]$ denotes an [[Definition:Unsigned Stirling Numbers of the First Kind|unsigned Stirling number of the first kind]].,"['Definition:Harmonic Numbers', 'Definition:Factorial', 'Definition:Stirling Numbers of the First Kind/Unsigned']","[21005, 20058, 26485]","[26485, 20972, 26931]","[26485, 20972, 26931, 29585, 26484]","[26485, 20972, 26931, 29585, 26484, 20973, 29496, 26936, 26932, 20976]","[26485, 20972, 26931, 29585, 26484, 20973, 29496, 26936, 26932, 20976, 26934, 20974, 26486, 21005, 29583, 26935, 23956, 32906, 32905, 26540, 28149, 29497, 31175, 28270, 32908, 28151, 26487, 26933, 29463, 20058, 32624, 26539, 29495, 21310, 28269, 26240, 26239, 32625, 20231, 26226, 28953, 26483, 28268, 28287, 27239, 31176, 27956, 26533, 32456, 26235]",0.3333333333333333,0.2,0.1,0.06,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,False
10601,15892,Sum of Harmonic Numbers approaches Harmonic Number of Product of Indices,"Let $m, n \in \Z_{>0}$ be [[Definition:Strictly Positive Integer|(strictly) positive integers]].Let:: $T \left({m, n}\right) := H_m + H_n - H_{m n}$where $H_n$ denotes the $n$th [[Definition:Harmonic Number|harmonic number]].Then as $m$ or $n$ increases, $T \left({m, n}\right)$ never increases, and reaches its minimum when $m$ and $n$ approach [[Definition:Infinity|infinity]].","['Definition:Strictly Positive/Integer', 'Definition:Harmonic Numbers', 'Definition:Infinity']","[22655, 21005, 20994]","[21005, 23956, 24720]","[21005, 23956, 24720, 28953, 22654]","[21005, 23956, 24720, 28953, 22654, 22657, 31175, 22655, 32906, 28208]","[21005, 23956, 24720, 28953, 22654, 22657, 31175, 22655, 32906, 28208, 32905, 21396, 26538, 28151, 26445, 26539, 26540, 28149, 27685, 29463, 26996, 27956, 27424, 27464, 25007, 26663, 20231, 21407, 24447, 28150, 27782, 20465, 31176, 27473, 26670, 22649, 26830, 27683, 20971, 24326, 24850, 24324, 20320, 20179, 23706, 27402, 30862, 24636, 20475, 22091]",0.3333333333333333,0.2,0.2,0.04,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,False
